# Crystal, C-Axis (x), C-Axis (y), C-Axis (z), Size (m), Disl. dens. (1/m^2), Last recr. time (s), Size at last recr. (m)
1.000000,-0.111892,-0.157705,-0.981127,0.001500,40000000000.000000,0.000000,0.001500
2.000000,0.730980,-0.584326,-0.352465,0.001500,40000000000.000000,0.000000,0.001500
3.000000,-0.194242,0.062818,-0.978940,0.001500,40000000000.000000,0.000000,0.001500
4.000000,0.157399,-0.174215,0.972047,0.001500,40000000000.000000,0.000000,0.001500
5.000000,0.001664,-0.544671,0.838648,0.001500,40000000000.000000,0.000000,0.001500
6.000000,-0.943313,0.318587,-0.093069,0.001500,40000000000.000000,0.000000,0.001500
7.000000,-0.659756,-0.522813,-0.539804,0.001500,40000000000.000000,0.000000,0.001500
8.000000,-0.249282,-0.771209,0.585743,0.001500,40000000000.000000,0.000000,0.001500
9.000000,0.085959,0.824686,-0.559020,0.001500,40000000000.000000,0.000000,0.001500
10.000000,-0.800946,0.237712,0.549526,0.001500,40000000000.000000,0.000000,0.001500
11.000000,0.452650,0.139954,-0.880636,0.001500,40000000000.000000,0.000000,0.001500
12.000000,-0.750175,-0.631241,-0.196908,0.001500,40000000000.000000,0.000000,0.001500
13.000000,0.781645,0.084257,-0.618006,0.001500,40000000000.000000,0.000000,0.001500
14.000000,-0.471439,-0.467426,0.747836,0.001500,40000000000.000000,0.000000,0.001500
15.000000,0.143711,0.394218,0.907711,0.001500,40000000000.000000,0.000000,0.001500
16.000000,-0.232687,-0.008517,0.972514,0.001500,40000000000.000000,0.000000,0.001500
17.000000,-0.397760,0.050760,-0.916084,0.001500,40000000000.000000,0.000000,0.001500
18.000000,-0.158738,-0.627185,-0.762523,0.001500,40000000000.000000,0.000000,0.001500
19.000000,-0.205434,-0.522032,-0.827816,0.001500,40000000000.000000,0.000000,0.001500
20.000000,-0.144572,-0.953458,0.264607,0.001500,40000000000.000000,0.000000,0.001500
21.000000,-0.300293,0.116640,0.946689,0.001500,40000000000.000000,0.000000,0.001500
22.000000,-0.228596,0.424408,0.876140,0.001500,40000000000.000000,0.000000,0.001500
23.000000,-0.619859,-0.189005,0.761612,0.001500,40000000000.000000,0.000000,0.001500
24.000000,0.208764,-0.257637,0.943420,0.001500,40000000000.000000,0.000000,0.001500
25.000000,0.402321,-0.240063,-0.883463,0.001500,40000000000.000000,0.000000,0.001500
26.000000,-0.343019,-0.347355,0.872745,0.001500,40000000000.000000,0.000000,0.001500
27.000000,-0.876615,-0.095169,-0.471688,0.001500,40000000000.000000,0.000000,0.001500
28.000000,-0.963784,-0.231263,-0.132810,0.001500,40000000000.000000,0.000000,0.001500
29.000000,0.291611,0.465971,0.835365,0.001500,40000000000.000000,0.000000,0.001500
30.000000,0.410467,0.485093,-0.772141,0.001500,40000000000.000000,0.000000,0.001500
31.000000,-0.730192,-0.499301,-0.466389,0.001500,40000000000.000000,0.000000,0.001500
32.000000,-0.374486,-0.297939,0.878062,0.001500,40000000000.000000,0.000000,0.001500
33.000000,-0.602820,-0.770218,0.208261,0.001500,40000000000.000000,0.000000,0.001500
34.000000,0.709765,0.299787,-0.637465,0.001500,40000000000.000000,0.000000,0.001500
35.000000,0.651393,0.274389,0.707388,0.001500,40000000000.000000,0.000000,0.001500
36.000000,-0.690228,-0.527487,-0.495320,0.001500,40000000000.000000,0.000000,0.001500
37.000000,-0.235395,0.153032,-0.959776,0.001500,40000000000.000000,0.000000,0.001500
38.000000,-0.884978,0.358097,-0.297625,0.001500,40000000000.000000,0.000000,0.001500
39.000000,0.660025,0.359689,-0.659538,0.001500,40000000000.000000,0.000000,0.001500
40.000000,-0.139514,0.091439,-0.985989,0.001500,40000000000.000000,0.000000,0.001500
41.000000,0.287487,0.246792,-0.925443,0.001500,40000000000.000000,0.000000,0.001500
42.000000,0.828458,-0.015054,-0.559849,0.001500,40000000000.000000,0.000000,0.001500
43.000000,-0.040778,-0.143348,-0.988832,0.001500,40000000000.000000,0.000000,0.001500
44.000000,-0.488600,0.107784,0.865825,0.001500,40000000000.000000,0.000000,0.001500
45.000000,0.726075,0.686063,-0.046187,0.001500,40000000000.000000,0.000000,0.001500
46.000000,0.004169,-0.864207,-0.503119,0.001500,40000000000.000000,0.000000,0.001500
47.000000,0.551716,-0.122405,-0.825001,0.001500,40000000000.000000,0.000000,0.001500
48.000000,0.625638,-0.694237,0.355825,0.001500,40000000000.000000,0.000000,0.001500
49.000000,0.198374,-0.186840,0.962153,0.001500,40000000000.000000,0.000000,0.001500
50.000000,0.459600,0.883546,-0.090081,0.001500,40000000000.000000,0.000000,0.001500
51.000000,-0.104686,0.433272,0.895163,0.001500,40000000000.000000,0.000000,0.001500
52.000000,0.508033,-0.687342,0.519099,0.001500,40000000000.000000,0.000000,0.001500
53.000000,-0.725167,0.173807,-0.666276,0.001500,40000000000.000000,0.000000,0.001500
54.000000,0.435796,-0.007786,0.900012,0.001500,40000000000.000000,0.000000,0.001500
55.000000,-0.114459,0.578407,-0.807678,0.001500,40000000000.000000,0.000000,0.001500
56.000000,-0.163413,0.202200,0.965614,0.001500,40000000000.000000,0.000000,0.001500
57.000000,-0.033733,-0.536544,-0.843198,0.001500,40000000000.000000,0.000000,0.001500
58.000000,-0.423830,-0.127826,-0.896676,0.001500,40000000000.000000,0.000000,0.001500
59.000000,-0.504226,-0.242896,0.828709,0.001500,40000000000.000000,0.000000,0.001500
60.000000,0.802012,0.401389,-0.442338,0.001500,40000000000.000000,0.000000,0.001500
61.000000,0.056784,0.032739,-0.997850,0.001500,40000000000.000000,0.000000,0.001500
62.000000,0.076974,0.224895,0.971338,0.001500,40000000000.000000,0.000000,0.001500
63.000000,0.361690,-0.274033,0.891115,0.001500,40000000000.000000,0.000000,0.001500
64.000000,-0.279782,-0.536631,0.796084,0.001500,40000000000.000000,0.000000,0.001500
65.000000,-0.728985,-0.582834,-0.359007,0.001500,40000000000.000000,0.000000,0.001500
66.000000,0.748636,0.251861,-0.613278,0.001500,40000000000.000000,0.000000,0.001500
67.000000,-0.698575,-0.034464,-0.714706,0.001500,40000000000.000000,0.000000,0.001500
68.000000,-0.314657,0.948969,-0.021202,0.001500,40000000000.000000,0.000000,0.001500
69.000000,0.049606,0.833779,-0.549866,0.001500,40000000000.000000,0.000000,0.001500
70.000000,0.035645,-0.216288,0.975679,0.001500,40000000000.000000,0.000000,0.001500
71.000000,0.432283,-0.346263,0.832606,0.001500,40000000000.000000,0.000000,0.001500
72.000000,0.617787,0.213989,-0.756669,0.001500,40000000000.000000,0.000000,0.001500
73.000000,-0.706685,-0.262647,0.656973,0.001500,40000000000.000000,0.000000,0.001500
74.000000,0.380237,0.532786,-0.756015,0.001500,40000000000.000000,0.000000,0.001500
75.000000,0.470092,-0.031542,-0.882054,0.001500,40000000000.000000,0.000000,0.001500
76.000000,-0.370478,-0.061570,0.926798,0.001500,40000000000.000000,0.000000,0.001500
77.000000,-0.887899,-0.207303,-0.410684,0.001500,40000000000.000000,0.000000,0.001500
78.000000,-0.164381,-0.684232,-0.710497,0.001500,40000000000.000000,0.000000,0.001500
79.000000,0.398588,-0.864840,-0.305253,0.001500,40000000000.000000,0.000000,0.001500
80.000000,0.440464,-0.445466,0.779456,0.001500,40000000000.000000,0.000000,0.001500
81.000000,-0.255264,-0.244928,-0.935335,0.001500,40000000000.000000,0.000000,0.001500
82.000000,0.257081,0.017158,-0.966237,0.001500,40000000000.000000,0.000000,0.001500
83.000000,0.172827,0.981928,-0.077127,0.001500,40000000000.000000,0.000000,0.001500
84.000000,0.688054,0.236135,-0.686165,0.001500,40000000000.000000,0.000000,0.001500
85.000000,-0.564444,-0.051408,-0.823869,0.001500,40000000000.000000,0.000000,0.001500
86.000000,0.441408,-0.352108,0.825336,0.001500,40000000000.000000,0.000000,0.001500
87.000000,-0.342500,-0.187240,0.920671,0.001500,40000000000.000000,0.000000,0.001500
88.000000,-0.609476,-0.633277,-0.476970,0.001500,40000000000.000000,0.000000,0.001500
89.000000,0.104893,0.133994,0.985415,0.001500,40000000000.000000,0.000000,0.001500
90.000000,-0.001941,-0.223098,0.974794,0.001500,40000000000.000000,0.000000,0.001500
91.000000,-0.078070,0.400217,0.913089,0.001500,40000000000.000000,0.000000,0.001500
92.000000,0.360984,-0.390362,-0.846940,0.001500,40000000000.000000,0.000000,0.001500
93.000000,0.280308,-0.825060,0.490616,0.001500,40000000000.000000,0.000000,0.001500
94.000000,-0.614629,0.044965,0.787533,0.001500,40000000000.000000,0.000000,0.001500
95.000000,0.844997,-0.141626,0.515676,0.001500,40000000000.000000,0.000000,0.001500
96.000000,-0.511729,-0.088190,0.854608,0.001500,40000000000.000000,0.000000,0.001500
97.000000,0.123407,0.597008,-0.792687,0.001500,40000000000.000000,0.000000,0.001500
98.000000,0.260833,0.747767,0.610583,0.001500,40000000000.000000,0.000000,0.001500
99.000000,0.762169,0.085076,0.641764,0.001500,40000000000.000000,0.000000,0.001500
100.000000,-0.389089,0.577760,-0.717498,0.001500,40000000000.000000,0.000000,0.001500
101.000000,0.475143,-0.799965,-0.366462,0.001500,40000000000.000000,0.000000,0.001500
102.000000,-0.093241,0.596826,-0.796935,0.001500,40000000000.000000,0.000000,0.001500
103.000000,-0.462295,-0.704396,0.538618,0.001500,40000000000.000000,0.000000,0.001500
104.000000,0.259839,0.471032,0.842979,0.001500,40000000000.000000,0.000000,0.001500
105.000000,-0.261805,0.909027,-0.324236,0.001500,40000000000.000000,0.000000,0.001500
106.000000,-0.685149,0.724028,0.079712,0.001500,40000000000.000000,0.000000,0.001500
107.000000,-0.557495,-0.756568,0.341767,0.001500,40000000000.000000,0.000000,0.001500
108.000000,-0.700734,-0.317876,0.638691,0.001500,40000000000.000000,0.000000,0.001500
109.000000,-0.188881,-0.014551,-0.981892,0.001500,40000000000.000000,0.000000,0.001500
110.000000,0.619392,0.247121,0.745174,0.001500,40000000000.000000,0.000000,0.001500
111.000000,0.166008,-0.939836,-0.298579,0.001500,40000000000.000000,0.000000,0.001500
112.000000,0.815231,0.155559,0.557853,0.001500,40000000000.000000,0.000000,0.001500
113.000000,-0.322155,-0.688836,0.649401,0.001500,40000000000.000000,0.000000,0.001500
114.000000,0.085779,-0.068507,0.993956,0.001500,40000000000.000000,0.000000,0.001500
115.000000,-0.547761,0.575832,-0.606939,0.001500,40000000000.000000,0.000000,0.001500
116.000000,-0.289242,-0.284286,-0.914068,0.001500,40000000000.000000,0.000000,0.001500
117.000000,-0.331104,-0.879160,0.342706,0.001500,40000000000.000000,0.000000,0.001500
118.000000,0.100014,-0.447719,-0.888563,0.001500,40000000000.000000,0.000000,0.001500
119.000000,-0.178059,-0.195468,-0.964410,0.001500,40000000000.000000,0.000000,0.001500
120.000000,-0.318776,-0.809388,0.493228,0.001500,40000000000.000000,0.000000,0.001500
121.000000,0.185448,-0.540286,0.820792,0.001500,40000000000.000000,0.000000,0.001500
122.000000,-0.375046,0.371357,0.849373,0.001500,40000000000.000000,0.000000,0.001500
123.000000,0.716917,0.222397,0.660734,0.001500,40000000000.000000,0.000000,0.001500
124.000000,0.377989,0.285664,-0.880636,0.001500,40000000000.000000,0.000000,0.001500
125.000000,-0.960821,-0.249889,-0.119914,0.001500,40000000000.000000,0.000000,0.001500
126.000000,0.300257,-0.416920,-0.857918,0.001500,40000000000.000000,0.000000,0.001500
127.000000,-0.383146,-0.079269,0.920280,0.001500,40000000000.000000,0.000000,0.001500
128.000000,0.739947,-0.478704,-0.472569,0.001500,40000000000.000000,0.000000,0.001500
129.000000,0.807171,0.509798,-0.297625,0.001500,40000000000.000000,0.000000,0.001500
130.000000,0.440612,-0.506501,0.741160,0.001500,40000000000.000000,0.000000,0.001500
131.000000,0.033734,-0.042133,0.998542,0.001500,40000000000.000000,0.000000,0.001500
132.000000,0.531778,-0.481469,0.696707,0.001500,40000000000.000000,0.000000,0.001500
133.000000,0.470917,0.237566,-0.849588,0.001500,40000000000.000000,0.000000,0.001500
134.000000,-0.211887,0.324079,-0.921996,0.001500,40000000000.000000,0.000000,0.001500
135.000000,0.010034,0.072838,-0.997293,0.001500,40000000000.000000,0.000000,0.001500
136.000000,0.058589,-0.086902,0.994493,0.001500,40000000000.000000,0.000000,0.001500
137.000000,0.454451,0.509602,-0.730602,0.001500,40000000000.000000,0.000000,0.001500
138.000000,0.252558,-0.233320,0.939029,0.001500,40000000000.000000,0.000000,0.001500
139.000000,0.296145,0.801544,-0.519447,0.001500,40000000000.000000,0.000000,0.001500
140.000000,0.317206,-0.456664,-0.831167,0.001500,40000000000.000000,0.000000,0.001500
141.000000,0.133404,0.493497,-0.859456,0.001500,40000000000.000000,0.000000,0.001500
142.000000,-0.456941,-0.837888,-0.298579,0.001500,40000000000.000000,0.000000,0.001500
143.000000,0.140177,0.655013,0.742501,0.001500,40000000000.000000,0.000000,0.001500
144.000000,0.543724,0.234266,-0.805906,0.001500,40000000000.000000,0.000000,0.001500
145.000000,-0.460118,0.219612,0.860269,0.001500,40000000000.000000,0.000000,0.001500
146.000000,-0.227414,0.656421,0.719302,0.001500,40000000000.000000,0.000000,0.001500
147.000000,-0.067785,-0.040413,0.996881,0.001500,40000000000.000000,0.000000,0.001500
148.000000,0.023946,0.904095,0.426660,0.001500,40000000000.000000,0.000000,0.001500
149.000000,-0.011673,-0.186530,0.982380,0.001500,40000000000.000000,0.000000,0.001500
150.000000,0.078591,0.459171,-0.884865,0.001500,40000000000.000000,0.000000,0.001500
151.000000,0.573685,0.001509,0.819075,0.001500,40000000000.000000,0.000000,0.001500
152.000000,0.455119,0.008373,-0.890391,0.001500,40000000000.000000,0.000000,0.001500
153.000000,0.245925,-0.123948,0.961331,0.001500,40000000000.000000,0.000000,0.001500
154.000000,0.588005,0.149763,0.794872,0.001500,40000000000.000000,0.000000,0.001500
155.000000,-0.239779,-0.056889,0.969159,0.001500,40000000000.000000,0.000000,0.001500
156.000000,0.233413,0.607466,-0.759278,0.001500,40000000000.000000,0.000000,0.001500
157.000000,0.383644,0.636331,-0.669254,0.001500,40000000000.000000,0.000000,0.001500
158.000000,-0.109323,-0.317644,-0.941887,0.001500,40000000000.000000,0.000000,0.001500
159.000000,-0.174738,-0.311889,-0.933912,0.001500,40000000000.000000,0.000000,0.001500
160.000000,0.119048,-0.542277,-0.831723,0.001500,40000000000.000000,0.000000,0.001500
161.000000,-0.020394,-0.002844,-0.999788,0.001500,40000000000.000000,0.000000,0.001500
162.000000,0.159988,-0.540291,-0.826129,0.001500,40000000000.000000,0.000000,0.001500
163.000000,-0.687648,-0.367274,0.626299,0.001500,40000000000.000000,0.000000,0.001500
